energy_eV,sigma_elastic
1.000000e3,2.658270e1
1.224740e3,2.442533e1
1.500000e3,2.211640e1
2.000000e3,2.135924e1
2.500000e3,2.070686e1
3.000000e3,1.961408e1
5.000000e3,1.698587e1
7.000000e3,1.583370e1
1.000000e4,1.539463e1
2.000000e4,1.424122e1
3.000000e4,1.342677e1
4.590290e4,1.289097e1
5.000000e4,1.273994e1
7.000000e4,1.198303e1
1.000000e5,1.097532e1
1.108820e5,1.070506e1
1.200000e5,1.049585e1
1.400000e5,1.010100e1
1.523370e5,9.889907e0
1.700000e5,9.621242e0
2.000000e5,9.221303e0
2.500000e5,8.516441e0
3.000000e5,7.962059e0
3.204770e5,7.745715e0
4.000000e5,7.053047e0
5.000000e5,6.380235e0
5.493900e5,6.061408e0
6.000000e5,5.770279e0
7.000000e5,5.250771e0
8.000000e5,4.789537e0
8.341340e5,4.648844e0